FPS,Frame(ms),Min(ms),Max(ms),Avg(ms),CPU(ms),GPUWait(ms),ShadowPass(ms),WallsDC,PointsDC,ModelDC,ShadowDC,WallsTris,PointsTris,ModelTris,PointLights,SpotLights,VRAM(MB),Upload(KB)
194.469,5.1422,5.1422,5.1422,5.1422,3.12765,2.01454,0.681938,5,100,1,106,10,1200,67907,100,1,0,0
206.748,4.53143,4.53143,5.1422,4.83681,0.709209,3.82222,0.162796,5,100,1,106,10,1200,67907,100,1,0,0
212.674,4.43244,4.43244,5.1422,4.70202,0.535318,3.89712,0.117807,5,100,1,106,10,1200,67907,100,1,0,0
208.855,5.04598,4.43244,5.1422,4.78801,0.45232,4.59366,0.082238,5,100,1,106,10,1200,67907,100,1,0,0
213.001,4.32198,4.32198,5.1422,4.6948,0.539459,3.78252,0.085558,5,100,1,106,10,1200,67907,100,1,0,0
219.959,3.8038,3.8038,5.1422,4.5463,0.423936,3.37987,0.108639,5,100,1,106,10,1200,67907,100,1,0,0
227.868,3.44169,3.44169,5.1422,4.3885,0.392523,3.04916,0.073402,5,100,1,106,10,1200,67907,100,1,0,0
230.769,3.94718,3.44169,5.1422,4.33334,0.349393,3.59778,0.087756,5,100,1,106,10,1200,67907,100,1,0,0
231.059,4.28444,3.44169,5.1422,4.3279,0.375073,3.90936,0.115222,5,100,1,106,10,1200,67907,100,1,0,0
236.72,3.2929,3.2929,5.1422,4.2244,0.372587,2.92031,0.0849,5,100,1,106,10,1200,67907,100,1,0,0
241.248,3.3523,3.2929,5.1422,4.14512,0.752793,2.5995,0.156558,5,100,1,106,10,1200,67907,100,1,0,0
245.515,3.28049,3.28049,5.1422,4.07307,0.711113,2.56938,0.13701,5,100,1,106,10,1200,67907,100,1,0,0
245.369,4.10453,3.28049,5.1422,4.07549,0.634928,3.4696,0.14766,5,100,1,106,10,1200,67907,100,1,0,0
247.566,3.56922,3.28049,5.1422,4.03933,0.365838,3.20338,0.093065,5,100,1,106,10,1200,67907,100,1,0,0
249.14,3.65652,3.28049,5.1422,4.01381,0.424956,3.23157,0.093053,5,100,1,106,10,1200,67907,100,1,0,0
251.216,3.48322,3.28049,5.1422,3.98064,0.36006,3.12316,0.071661,5,100,1,106,10,1200,67907,100,1,0,0
253.159,3.46112,3.28049,5.1422,3.95008,0.339766,3.12135,0.073907,5,100,1,106,10,1200,67907,100,1,0,0
255.569,3.27971,3.27971,5.1422,3.91284,0.340276,2.93943,0.069708,5,100,1,106,10,1200,67907,100,1,0,0
255.284,3.9957,3.27971,5.1422,3.9172,0.397593,3.59811,0.080298,5,100,1,106,10,1200,67907,100,1,0,0
257.319,3.29781,3.27971,5.1422,3.88623,0.356087,2.94173,0.083216,5,100,1,106,10,1200,67907,100,1,0,0
259.02,3.35026,3.27971,5.1422,3.86071,0.362903,2.98736,0.074301,5,100,1,106,10,1200,67907,100,1,0,0
254.822,5.26001,3.27971,5.26001,3.92431,0.352095,4.90792,0.069554,5,100,1,106,10,1200,67907,100,1,0,0
255.928,3.53417,3.27971,5.26001,3.90735,0.366653,3.16752,0.089809,5,100,1,106,10,1200,67907,100,1,0,0
256.696,3.62661,3.27971,5.26001,3.89565,0.375108,3.2515,0.072546,5,100,1,106,10,1200,67907,100,1,0,0
258.938,3.05244,3.05244,5.26001,3.86193,0.424661,2.62778,0.080072,5,100,1,106,10,1200,67907,100,1,0,0
258.581,4.00056,3.05244,5.26001,3.86726,0.377113,3.62344,0.0826,5,100,1,106,10,1200,67907,100,1,0,0
260.641,3.04188,3.04188,5.26001,3.83669,0.400074,2.64181,0.088402,5,100,1,106,10,1200,67907,100,1,0,0
259.872,4.15496,3.04188,5.26001,3.84806,0.384356,3.77061,0.083364,5,100,1,106,10,1200,67907,100,1,0,0
261.784,3.0329,3.0329,5.26001,3.81995,0.378539,2.65436,0.088801,5,100,1,106,10,1200,67907,100,1,0,0
262.217,3.63068,3.0329,5.26001,3.81364,0.376533,3.25415,0.075645,5,100,1,106,10,1200,67907,100,1,0,0
262.899,3.50677,3.0329,5.26001,3.80374,0.359585,3.14718,0.076036,5,100,1,106,10,1200,67907,100,1,0,0
262.355,4.05635,3.0329,5.26001,3.81163,0.415538,3.64082,0.0802,5,100,1,106,10,1200,67907,100,1,0,0
263.979,3.03772,3.0329,5.26001,3.78818,0.374835,2.66288,0.078057,5,100,1,106,10,1200,67907,100,1,0,0
264.278,3.64255,3.0329,5.26001,3.7839,0.367505,3.27505,0.070637,5,100,1,106,10,1200,67907,100,1,0,0
264.13,3.85791,3.0329,5.26001,3.78601,0.35487,3.50304,0.078228,5,100,1,106,10,1200,67907,100,1,0,0
265.087,3.29429,3.0329,5.26001,3.77235,0.401223,2.89306,0.126822,5,100,1,106,10,1200,67907,100,1,0,0
265.469,3.57145,3.0329,5.26001,3.76692,0.36944,3.20201,0.089075,5,100,1,106,10,1200,67907,100,1,0,0
266.251,3.34612,3.0329,5.26001,3.75585,0.360041,2.98608,0.080705,5,100,1,106,10,1200,67907,100,1,0,0
267.547,3.04676,3.0329,5.26001,3.73767,0.342714,2.70405,0.073099,5,100,1,106,10,1200,67907,100,1,0,0
267.083,3.99706,3.0329,5.26001,3.74415,0.422965,3.5741,0.076924,5,100,1,106,10,1200,67907,100,1,0,0
267.847,3.30647,3.0329,5.26001,3.73348,0.342343,2.96413,0.070744,5,100,1,106,10,1200,67907,100,1,0,0
267.448,3.96723,3.0329,5.26001,3.73904,0.351973,3.61526,0.071313,5,100,1,106,10,1200,67907,100,1,0,0
269.455,2.54135,2.54135,5.26001,3.71119,0.768032,1.77331,0.184584,5,100,1,106,10,1200,67907,100,1,0,0
268.546,4.2643,2.54135,5.26001,3.72376,0.725112,3.53918,0.141429,5,100,1,106,10,1200,67907,100,1,0,0
270.269,2.65513,2.54135,5.26001,3.70001,0.73336,1.92177,0.158133,5,100,1,106,10,1200,67907,100,1,0,0
272.03,2.59866,2.54135,5.26001,3.67607,0.732365,1.86629,0.131131,5,100,1,106,10,1200,67907,100,1,0,0
273.791,2.56461,2.54135,5.26001,3.65242,0.36309,2.20152,0.107376,5,100,1,106,10,1200,67907,100,1,0,0
275.815,2.3659,2.3659,5.26001,3.62562,0.341809,2.02409,0.072117,5,100,1,106,10,1200,67907,100,1,0,0
277.631,2.46374,2.3659,5.26001,3.60191,0.352114,2.11163,0.076959,5,100,1,106,10,1200,67907,100,1,0,0
279.8,2.20572,2.20572,5.26001,3.57398,0.343175,1.86255,0.067234,5,100,1,106,10,1200,67907,100,1,0,0
281.571,2.42751,2.20572,5.26001,3.5515,0.355397,2.07212,0.085347,5,100,1,106,10,1200,67907,100,1,0,0
282.693,2.81862,2.20572,5.26001,3.53741,0.370724,2.4479,0.110218,5,100,1,106,10,1200,67907,100,1,0,0
284.712,2.2075,2.20572,5.26001,3.51232,0.345638,1.86186,0.071547,5,100,1,106,10,1200,67907,100,1,0,0
285.968,2.67942,2.20572,5.26001,3.49689,0.364401,2.31501,0.070309,5,100,1,106,10,1200,67907,100,1,0,0
287.196,2.67431,2.20572,5.26001,3.48194,0.789725,1.88459,0.158782,5,100,1,106,10,1200,67907,100,1,0,0
288.876,2.34831,2.20572,5.26001,3.46169,0.721403,1.62691,0.135544,5,100,1,106,10,1200,67907,100,1,0,0
290.348,2.46106,2.20572,5.26001,3.44414,0.722591,1.73847,0.130105,5,100,1,106,10,1200,67907,100,1,0,0
292.16,2.20531,2.20531,5.26001,3.42278,0.708644,1.49667,0.128923,5,100,1,106,10,1200,67907,100,1,0,0
293.173,2.72509,2.20531,5.26001,3.41096,0.652985,2.0721,0.128373,5,100,1,106,10,1200,67907,100,1,0,0
294.17,2.71742,2.20531,5.26001,3.3994,0.4006,2.31682,0.127003,5,100,1,106,10,1200,67907,100,1,0,0
295.372,2.55515,2.20531,5.26001,3.38556,0.394617,2.16054,0.091855,5,100,1,106,10,1200,67907,100,1,0,0
296.529,2.56653,2.20531,5.26001,3.37235,0.352109,2.21442,0.068285,5,100,1,106,10,1200,67907,100,1,0,0
298.145,2.22109,2.20531,5.26001,3.35407,0.336636,1.88445,0.084453,5,100,1,106,10,1200,67907,100,1,0,0
299.761,2.19689,2.19689,5.26001,3.33599,0.339527,1.85737,0.073885,5,100,1,106,10,1200,67907,100,1,0,0
300.588,2.73949,2.19689,5.26001,3.32681,0.412751,2.32674,0.084473,5,100,1,106,10,1200,67907,100,1,0,0
301.489,2.67029,2.19689,5.26001,3.31687,0.340782,2.32951,0.100028,5,100,1,106,10,1200,67907,100,1,0,0
302.417,2.63515,2.19689,5.26001,3.30669,0.36186,2.27329,0.073338,5,100,1,106,10,1200,67907,100,1,0,0
303.569,2.4531,2.19689,5.26001,3.29414,0.357279,2.09582,0.100005,5,100,1,106,10,1200,67907,100,1,0,0
305.073,2.17418,2.17418,5.26001,3.27791,0.338367,1.83582,0.067852,5,100,1,106,10,1200,67907,100,1,0,0
306.295,2.36246,2.17418,5.26001,3.26483,0.362387,2.00007,0.067789,5,100,1,106,10,1200,67907,100,1,0,0
307.366,2.45684,2.17418,5.26001,3.25345,0.451464,2.00537,0.087566,5,100,1,106,10,1200,67907,100,1,0,0
308.219,2.60537,2.17418,5.26001,3.24445,0.343543,2.26182,0.068592,5,100,1,106,10,1200,67907,100,1,0,0
309.338,2.38768,2.17418,5.26001,3.23271,0.463224,1.92446,0.147462,5,100,1,106,10,1200,67907,100,1,0,0
309.782,2.88928,2.17418,5.26001,3.22807,0.377179,2.5121,0.079224,5,100,1,106,10,1200,67907,100,1,0,0
311.085,2.21416,2.17418,5.26001,3.21455,0.365424,1.84874,0.093181,5,100,1,106,10,1200,67907,100,1,0,0
312.056,2.45473,2.17418,5.26001,3.20456,0.397238,2.05749,0.073028,5,100,1,106,10,1200,67907,100,1,0,0
313.056,2.41614,2.17418,5.26001,3.19432,0.79376,1.62238,0.206383,5,100,1,106,10,1200,67907,100,1,0,0
314.321,2.19138,2.17418,5.26001,3.18146,0.773353,1.41803,0.140662,5,100,1,106,10,1200,67907,100,1,0,0
314.897,2.72192,2.17418,5.26001,3.17564,0.702261,2.01966,0.130138,5,100,1,106,10,1200,67907,100,1,0,0
315.494,2.69507,2.17418,5.26001,3.16963,0.727478,1.96759,0.137014,5,100,1,106,10,1200,67907,100,1,0,0
316.21,2.58804,2.17418,5.26001,3.16245,0.402565,2.18547,0.14636,5,100,1,106,10,1200,67907,100,1,0,0
316.803,2.67699,2.17418,5.26001,3.15653,0.355287,2.3217,0.075767,5,100,1,106,10,1200,67907,100,1,0,0
317.952,2.21008,2.17418,5.26001,3.14513,0.362315,1.84776,0.095584,5,100,1,106,10,1200,67907,100,1,0,0
318.922,2.34119,2.17418,5.26001,3.13556,0.352424,1.98876,0.075742,5,100,1,106,10,1200,67907,100,1,0,0
319.244,2.86707,2.17418,5.26001,3.1324,0.343222,2.52385,0.081756,5,100,1,106,10,1200,67907,100,1,0,0
320.347,2.20469,2.17418,5.26001,3.12161,0.388526,1.81616,0.106659,5,100,1,106,10,1200,67907,100,1,0,0
321.083,2.49882,2.17418,5.26001,3.11445,0.383255,2.11557,0.125814,5,100,1,106,10,1200,67907,100,1,0,0
321.429,2.81975,2.17418,5.26001,3.11111,0.356594,2.46316,0.077266,5,100,1,106,10,1200,67907,100,1,0,0
322.282,2.37854,2.17418,5.26001,3.10287,0.346402,2.03214,0.071247,5,100,1,106,10,1200,67907,100,1,0,0
323.031,2.45515,2.17418,5.26001,3.09568,0.350698,2.10445,0.076282,5,100,1,106,10,1200,67907,100,1,0,0
324.094,2.17196,2.17196,5.26001,3.08553,0.344133,1.82782,0.081504,5,100,1,106,10,1200,67907,100,1,0,0
324.627,2.61882,2.17196,5.26001,3.08045,0.335317,2.2835,0.068524,5,100,1,106,10,1200,67907,100,1,0,0
325.319,2.47137,2.17196,5.26001,3.0739,0.362869,2.10851,0.072073,5,100,1,106,10,1200,67907,100,1,0,0
325.775,2.66912,2.17196,5.26001,3.0696,0.339724,2.3294,0.069787,5,100,1,106,10,1200,67907,100,1,0,0
326.549,2.3792,2.17196,5.26001,3.06233,0.352533,2.02666,0.071713,5,100,1,106,10,1200,67907,100,1,0,0
327.22,2.4594,2.17196,5.26001,3.05605,0.354099,2.1053,0.071968,5,100,1,106,10,1200,67907,100,1,0,0
328.171,2.19679,2.17196,5.26001,3.04719,0.339974,1.85682,0.071208,5,100,1,106,10,1200,67907,100,1,0,0
328.893,2.39182,2.17196,5.26001,3.0405,0.337834,2.05399,0.077488,5,100,1,106,10,1200,67907,100,1,0,0
329.121,2.83215,2.17196,5.26001,3.0384,0.36494,2.46721,0.086335,5,100,1,106,10,1200,67907,100,1,0,0
329.809,2.40395,2.17196,5.26001,3.03206,0.372742,2.03121,0.105426,5,100,1,106,10,1200,67907,100,1,0,0
