FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
6.02856,165.877,165.877,165.877,165.877,164.916,0.960775,1,12000000,1.50087,0,
6.43009,145.161,145.161,165.877,155.519,145.071,0.089537,1,12000000,1.50087,0,
6.59886,143.586,143.586,165.877,151.541,143.534,0.052497,1,12000000,1.50087,0,
6.67914,144.256,143.586,165.877,149.72,144.207,0.049505,1,12000000,1.50087,0,
6.72582,144.523,143.586,165.877,148.681,144.461,0.062792,1,12000000,1.50087,0,
6.7572,144.538,143.586,165.877,147.99,144.479,0.059006,1,12000000,1.50087,0,
6.79108,142.822,142.822,165.877,147.252,142.77,0.051738,1,12000000,1.50087,0,
6.81844,142.524,142.524,165.877,146.661,142.473,0.051275,1,12000000,1.50087,0,
6.84469,141.599,141.599,165.877,146.099,141.552,0.046718,1,12000000,1.50087,0,
6.86405,141.98,141.599,165.877,145.687,141.926,0.053656,1,12000000,1.50087,0,
6.88109,141.716,141.599,165.877,145.326,141.665,0.051277,1,12000000,1.50087,0,
6.8921,142.541,141.599,165.877,145.094,141.758,0.783206,1,12000000,1.50087,0,
6.90465,141.666,141.599,165.877,144.83,141.604,0.062082,1,12000000,1.50087,0,
6.91267,142.477,141.599,165.877,144.662,142.431,0.046211,1,12000000,1.50087,0,
6.92111,142.016,141.599,165.877,144.486,141.963,0.052504,1,12000000,1.50087,0,
6.93092,141.214,141.214,165.877,144.281,141.165,0.049129,1,12000000,1.50087,0,
6.93831,141.666,141.214,165.877,144.127,141.621,0.044818,1,12000000,1.50087,0,
6.94515,141.575,141.214,165.877,143.985,141.525,0.049762,1,12000000,1.50087,0,
6.94653,143.439,141.214,165.877,143.957,143.395,0.044253,1,12000000,1.50087,0,
6.94002,146.66,141.214,165.877,144.092,146.618,0.041422,1,12000000,1.50087,0,
6.90896,157.696,141.214,165.877,144.74,157.651,0.044372,1,12000000,1.50087,0,
6.87812,159.014,141.214,165.877,145.388,158.963,0.051371,1,12000000,1.50087,0,
6.85229,157.995,141.214,165.877,145.937,157.941,0.05399,1,12000000,1.50087,0,
6.82751,158.647,141.214,165.877,146.466,158.594,0.052646,1,12000000,1.50087,0,
6.80721,157.387,141.214,165.877,146.903,157.336,0.050756,1,12000000,1.50087,0,
6.78805,157.686,141.214,165.877,147.318,157.645,0.040986,1,12000000,1.50087,0,
6.77054,157.604,141.214,165.877,147.699,157.562,0.041795,1,12000000,1.50087,0,
6.75006,160.245,141.214,165.877,148.147,160.17,0.07514,1,12000000,1.50087,0,
6.73335,158.807,141.214,165.877,148.514,158.755,0.051833,1,12000000,1.50087,0,
6.71916,157.929,141.214,165.877,148.828,157.858,0.070828,1,12000000,1.50087,0,
6.70291,160.012,141.214,165.877,149.189,159.965,0.046993,1,12000000,1.50087,0,
6.68889,159.197,141.214,165.877,149.502,159.153,0.043214,1,12000000,1.50087,0,
6.67469,159.995,141.214,165.877,149.82,159.95,0.044956,1,12000000,1.50087,0,
6.66214,159.412,141.214,165.877,150.102,159.368,0.043711,1,12000000,1.50087,0,
6.65254,157.684,141.214,165.877,150.318,157.635,0.048902,1,12000000,1.50087,0,
6.64303,158.069,141.214,165.877,150.534,158.029,0.040705,1,12000000,1.50087,0,
6.63454,157.658,141.214,165.877,150.726,157.61,0.048219,1,12000000,1.50087,0,
6.6242,159.666,141.214,165.877,150.962,159.623,0.043945,1,12000000,1.50087,0,
6.61493,159.216,141.214,165.877,151.173,159.175,0.040962,1,12000000,1.50087,0,
6.60729,158.163,141.214,165.877,151.348,158.123,0.0398,1,12000000,1.50087,0,
6.5985,159.614,141.214,165.877,151.55,159.571,0.042271,1,12000000,1.50087,0,
6.58931,160.424,141.214,165.877,151.761,160.334,0.089888,1,12000000,1.50087,0,
6.58268,158.333,141.214,165.877,151.914,158.281,0.052537,1,12000000,1.50087,0,
6.57638,158.323,141.214,165.877,152.059,158.279,0.043343,1,12000000,1.50087,0,
6.57172,156.908,141.214,165.877,152.167,156.866,0.041633,1,12000000,1.50087,0,
6.56717,157.015,141.214,165.877,152.273,156.972,0.043129,1,12000000,1.50087,0,
6.5623,157.588,141.214,165.877,152.386,157.546,0.042766,1,12000000,1.50087,0,
6.55751,157.723,141.214,165.877,152.497,157.678,0.045089,1,12000000,1.50087,0,
6.55362,156.939,141.214,165.877,152.587,156.898,0.041023,1,12000000,1.50087,0,
6.54885,158.138,141.214,165.877,152.699,158.095,0.043087,1,12000000,1.50087,0,
6.54416,158.282,141.214,165.877,152.808,158.237,0.045341,1,12000000,1.50087,0,
6.53698,161.54,141.214,165.877,152.976,161.498,0.041787,1,12000000,1.50087,0,
6.53119,160.165,141.214,165.877,153.112,160.121,0.043258,1,12000000,1.50087,0,
6.52642,159.144,141.214,165.877,153.223,159.06,0.08374,1,12000000,1.50087,0,
6.52153,159.549,141.214,165.877,153.338,159.497,0.052459,1,12000000,1.50087,0,
6.51683,159.534,141.214,165.877,153.449,159.491,0.042987,1,12000000,1.50087,0,
6.51194,160.019,141.214,165.877,153.564,159.976,0.0423,1,12000000,1.50087,0,
6.50709,160.197,141.214,165.877,153.679,160.152,0.044648,1,12000000,1.50087,0,
6.50287,159.556,141.214,165.877,153.778,159.514,0.041369,1,12000000,1.50087,0,
6.49833,160.229,141.214,165.877,153.886,160.19,0.039375,1,12000000,1.50087,0,
6.49402,160.114,141.214,165.877,153.988,160.047,0.066721,1,12000000,1.50087,0,
6.48977,160.238,141.214,165.877,154.089,160.19,0.048392,1,12000000,1.50087,0,
6.48569,160.195,141.214,165.877,154.186,160.149,0.045675,1,12000000,1.50087,0,
6.48292,158.401,141.214,165.877,154.251,158.36,0.041039,1,12000000,1.50087,0,
6.48072,157.66,141.214,165.877,154.304,157.62,0.039495,1,12000000,1.50087,0,
6.4764,161.097,141.214,165.877,154.407,161.054,0.042603,1,12000000,1.50087,0,
6.47403,158.198,141.214,165.877,154.463,158.142,0.055678,1,12000000,1.50087,0,
6.47058,160.053,141.214,165.877,154.546,159.997,0.055964,1,12000000,1.50087,0,
6.4748,147.596,141.214,165.877,154.445,147.525,0.071947,1,12000000,1.50087,0,
6.47712,150.58,141.214,165.877,154.39,150.442,0.137944,1,12000000,1.50087,0,
6.48142,147.124,141.214,165.877,154.287,147.07,0.054373,1,12000000,1.50087,0,
6.48649,145.601,141.214,165.877,154.167,145.555,0.045939,1,12000000,1.50087,0,
6.49154,145.4,141.214,165.877,154.047,145.359,0.041052,1,12000000,1.50087,0,
6.49622,145.843,141.214,165.877,153.936,145.802,0.041096,1,12000000,1.50087,0,
6.50208,143.538,141.214,165.877,153.797,143.5,0.038103,1,12000000,1.50087,0,
6.5086,142.088,141.214,165.877,153.643,142.043,0.045084,1,12000000,1.50087,0,
6.51366,144.451,141.214,165.877,153.524,143.887,0.563512,1,12000000,1.50087,0,
6.51767,146.154,141.214,165.877,153.429,146.086,0.068053,1,12000000,1.50087,0,
6.52136,146.565,141.214,165.877,153.342,146.515,0.049644,1,12000000,1.50087,0,
6.52311,150.053,141.214,165.877,153.301,150.011,0.042075,1,12000000,1.50087,0,
6.52721,145.498,141.214,165.877,153.205,145.457,0.041241,1,12000000,1.50087,0,
6.53204,143.923,141.214,165.877,153.092,143.883,0.04007,1,12000000,1.50087,0,
6.53657,144.275,141.214,165.877,152.985,144.233,0.041502,1,12000000,1.50087,0,
6.54071,144.852,141.214,165.877,152.889,144.811,0.041068,1,12000000,1.50087,0,
6.54381,146.737,141.214,165.877,152.816,146.696,0.041568,1,12000000,1.50087,0,
6.54626,147.895,141.214,165.877,152.759,147.848,0.046564,1,12000000,1.50087,0,
6.54831,148.595,141.214,165.877,152.711,148.543,0.052464,1,12000000,1.50087,0,
6.55004,149.177,141.214,165.877,152.671,149.135,0.041485,1,12000000,1.50087,0,
6.55298,146.571,141.214,165.877,152.602,146.53,0.041681,1,12000000,1.50087,0,
6.55549,147.342,141.214,165.877,152.544,147.304,0.038455,1,12000000,1.50087,0,
6.55044,163.248,141.214,165.877,152.662,163.206,0.042194,1,12000000,1.50087,0,
6.55455,143.84,141.214,165.877,152.566,143.288,0.551825,1,12000000,1.50087,0,
6.55824,144.596,141.214,165.877,152.48,144.529,0.067179,1,12000000,1.50087,0,
6.56124,145.915,141.214,165.877,152.41,145.863,0.05225,1,12000000,1.50087,0,
6.56309,148.327,141.214,165.877,152.367,148.284,0.043031,1,12000000,1.50087,0,
6.56553,146.938,141.214,165.877,152.311,146.857,0.080643,1,12000000,1.50087,0,
6.57105,139.91,139.91,165.877,152.183,139.864,0.045603,1,12000000,1.50087,0,
6.57741,137.764,137.764,165.877,152.036,137.721,0.042888,1,12000000,1.50087,0,
6.58353,138.029,137.764,165.877,151.894,137.989,0.039564,1,12000000,1.50087,0,
6.58961,137.883,137.764,165.877,151.754,137.845,0.038366,1,12000000,1.50087,0,
6.60186,137.71,137.71,165.877,151.472,137.67,0.039694,1,12000000,1.50087,0,
6.60501,137.94,137.71,165.877,151.4,137.902,0.037468,1,12000000,1.50087,0,
6.60771,137.409,137.409,165.877,151.338,137.366,0.043203,1,12000000,1.50087,0,
6.61042,138.042,137.409,165.877,151.276,137.999,0.042776,1,12000000,1.50087,0,
6.61155,141.949,137.409,165.877,151.251,141.908,0.040564,1,12000000,1.50087,0,
6.61265,142.027,137.409,165.877,151.225,141.984,0.042577,1,12000000,1.50087,0,
6.61284,142.369,137.409,165.877,151.221,142.325,0.043713,1,12000000,1.50087,0,
6.61317,141.784,137.409,165.877,151.213,141.731,0.052471,1,12000000,1.50087,0,
6.61264,142.807,137.409,165.877,151.226,142.766,0.041088,1,12000000,1.50087,0,
6.61274,141.745,137.409,165.877,151.223,141.704,0.041076,1,12000000,1.50087,0,
6.61262,141.99,137.409,165.877,151.226,141.95,0.039616,1,12000000,1.50087,0,
