FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
261.676,3.82152,3.82152,3.82152,3.82152,0.412455,3.40906,1,2,8.07428,0,
126.3,12.0138,3.82152,12.0138,7.91767,0.022914,11.9909,1,2,8.07428,0,
102.041,13.5646,3.82152,13.5646,9.79998,0.804759,12.7598,1,2,8.07428,0,
98.5083,11.2058,3.82152,13.5646,10.1514,0.03422,11.1716,1,2,8.07428,0,
94.7832,12.1462,3.82152,13.5646,10.5504,0.122069,12.0242,1,2,8.07428,0,
91.6754,12.6963,3.82152,13.5646,10.908,0.083778,12.6126,1,2,8.07428,0,
92.1455,10.5186,3.82152,13.5646,10.8524,0.073059,10.4455,1,2,8.07428,0,
90.9334,12.0096,3.82152,13.5646,10.9971,0.07141,11.9382,1,2,8.07428,0,
87.9817,14.3175,3.82152,14.3175,11.366,0.337456,13.98,1,2,8.07428,0,
86.4414,13.3913,3.82152,14.3175,11.5685,0.060572,13.3307,1,2,8.07428,0,
86.2807,11.8056,3.82152,14.3175,11.5901,0.074608,11.731,1,2,8.07428,0,
85.5797,12.7293,3.82152,14.3175,11.685,0.094225,12.635,1,2,8.07428,0,
86.591,9.91093,3.82152,14.3175,11.5485,0.068567,9.84237,1,2,8.07428,0,
86.7375,11.2755,3.82152,14.3175,11.529,0.079019,11.1965,1,2,8.07428,0,
87.6867,9.65697,3.82152,14.3175,11.4042,0.072148,9.58482,1,2,8.07428,0,
86.5728,13.752,3.82152,14.3175,11.551,0.363634,13.3883,1,2,8.07428,0,
86.7529,11.1433,3.82152,14.3175,11.527,0.070429,11.0728,1,2,8.07428,0,
87.5756,9.57795,3.82152,14.3175,11.4187,0.072587,9.50537,1,2,8.07428,0,
87.0535,12.7199,3.82152,14.3175,11.4872,0.261332,12.4585,1,2,8.07428,0,
86.6016,12.6861,3.82152,14.3175,11.5471,0.034061,12.652,1,2,8.07428,0,
87.0762,10.2253,3.82152,14.3175,11.4842,0.046213,10.1791,1,2,8.07428,0,
