FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
409.599,2.44141,2.44141,2.44141,2.44141,2.09371,0.3477,1,12000,1.50087,0,
751.321,0.220565,0.220565,2.44141,1.33099,0.184001,0.036564,1,12000,1.50087,0,
1053.51,0.185635,0.185635,2.44141,0.949205,0.166513,0.019122,1,12000,1.50087,0,
1308.76,0.208711,0.185635,2.44141,0.764081,0.163189,0.045522,1,12000,1.50087,0,
1547.9,0.173849,0.173849,2.44141,0.646035,0.156589,0.01726,1,12000,1.50087,0,
1764.51,0.170211,0.170211,2.44141,0.566731,0.154085,0.016126,1,12000,1.50087,0,
1959.13,0.172636,0.170211,2.44141,0.510432,0.156301,0.016335,1,12000,1.50087,0,
2135.05,0.173969,0.170211,2.44141,0.468374,0.157703,0.016266,1,12000,1.50087,0,
2295.76,0.173282,0.170211,2.44141,0.435586,0.157689,0.015593,1,12000,1.50087,0,
2443.78,0.171756,0.170211,2.44141,0.409203,0.156188,0.015568,1,12000,1.50087,0,
2580.34,0.170975,0.170211,2.44141,0.387546,0.155582,0.015393,1,12000,1.50087,0,
2299,0.956666,0.170211,2.44141,0.434972,0.158028,0.798638,1,12000,1.50087,0,
2407.39,0.180377,0.170211,2.44141,0.415388,0.159273,0.021104,1,12000,1.50087,0,
2513.19,0.170561,0.170211,2.44141,0.397901,0.154626,0.015935,1,12000,1.50087,0,
2612.65,0.170688,0.170211,2.44141,0.382753,0.155387,0.015301,1,12000,1.50087,0,
2705.15,0.173351,0.170211,2.44141,0.369665,0.158068,0.015283,1,12000,1.50087,0,
2793.51,0.170886,0.170211,2.44141,0.357972,0.155966,0.01492,1,12000,1.50087,0,
2878.55,0.167623,0.167623,2.44141,0.347398,0.15259,0.015033,1,12000,1.50087,0,
2958.15,0.169773,0.167623,2.44141,0.338049,0.153923,0.01585,1,12000,1.50087,0,
3033.74,0.169596,0.167623,2.44141,0.329626,0.154462,0.015134,1,12000,1.50087,0,
3105.74,0.169152,0.167623,2.44141,0.321985,0.153854,0.015298,1,12000,1.50087,0,
3173.04,0.17174,0.167623,2.44141,0.315155,0.156405,0.015335,1,12000,1.50087,0,
3237.79,0.170198,0.167623,2.44141,0.308853,0.154039,0.016159,1,12000,1.50087,0,
